timestamp,ir,red,heart_rate,spo2,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,temp,gsr,cortisol
2025-03-06 09:32:39,2255,1226,68,,-2.92,3.38,8.84,-0.05,-0.01,0.02,25.89,741,18.67
2025-03-06 09:32:39,2225,1287,55,,-2.86,3.4,8.69,-0.05,0.01,0.01,25.75,737,18.23
2025-03-06 09:32:40,2261,1330,71,,-2.87,3.47,8.72,-0.05,-0.01,0.02,25.8,761,18.65
2025-03-06 09:32:41,2193,1232,66,,-2.92,3.36,8.79,-0.05,-0.01,0.02,25.8,711,18.08
2025-03-06 09:32:41,2229,1281,76,,-2.86,3.38,8.69,-0.03,-0.02,0.03,25.8,699,18.02
2025-03-06 09:32:41,2261,1307,68,,-2.84,3.37,8.81,-0.08,-0.03,-0.0,25.8,708,18.37
2025-03-06 09:32:42,2252,1276,68,,-2.73,3.51,8.74,-0.04,0.01,0.02,25.75,710,18.6
2025-03-06 09:32:42,2254,1271,66,,-2.83,3.42,8.78,-0.06,-0.01,0.0,25.8,717,18.25
2025-03-06 09:32:44,2263,1308,68,,-2.81,3.39,8.8,-0.05,-0.01,0.02,25.85,785,18.43
2025-03-06 09:32:45,2189,1314,116,,-2.87,3.48,8.75,-0.05,-0.01,0.03,25.71,1456,20.17
2025-03-06 09:32:45,2227,1287,86,,-2.85,3.34,8.74,-0.05,-0.01,0.02,25.8,1399,19.75
2025-03-06 09:32:46,2229,1307,86,,-2.78,3.26,8.71,-0.05,-0.01,0.02,25.75,1442,19.81
2025-03-06 09:32:46,2202,1230,96,,-2.83,3.33,8.73,-0.05,-0.01,0.01,25.66,1457,19.87
2025-03-06 09:32:48,2244,1271,98,,-2.78,3.38,8.82,-0.05,-0.01,0.02,25.85,1502,19.76
2025-03-06 09:32:50,2222,1289,93,,-2.74,3.35,8.87,-0.05,-0.01,0.02,25.85,1667,19.75
2025-03-06 09:32:51,2201,1242,98,,-2.81,3.43,8.72,-0.05,-0.01,0.02,25.8,1533,19.91
2025-03-06 09:32:52,2240,1244,94,,-2.77,3.45,8.7,-0.05,-0.01,0.02,25.8,1499,19.53
2025-03-06 09:32:54,2213,1281,83,,-2.82,3.41,8.83,-0.05,-0.01,0.02,25.85,1456,19.74
2025-03-06 09:32:55,2224,1279,93,,-2.77,3.37,8.77,-0.05,-0.01,0.01,25.75,1456,19.95
2025-03-06 09:32:55,2231,1280,95,,-2.8,3.39,8.77,-0.05,-0.01,0.02,25.8,1413,19.77
2025-03-06 09:32:58,2251,1296,89,,-2.86,3.45,8.82,-0.05,-0.01,0.01,25.8,1422,19.82
2025-03-06 09:32:58,2242,1334,90,,-2.82,3.37,8.79,-0.05,-0.01,0.02,25.85,1437,19.72
2025-03-06 09:32:58,2215,1239,88,,-2.83,3.41,8.79,-0.05,-0.01,0.02,25.8,1439,20.91
2025-03-06 09:32:59,2230,1312,88,,-2.82,3.4,8.88,-0.05,-0.0,0.02,25.89,1453,20.0
